persistentid,venueid,utc_date,utc_hour,local_date,local_hour,gender,age,full_panel_reweighted_sag_score,dwell,home_zip,venuename,address,city,dma,state,country,geolat,geolong,catid,catname,level1catId,level1cat,level2catId,level2cat,level3catId,level3cat,chainid,chainname,parentvenueid,zip,sample
99,4b16cb5cf964a5208bbd23e3,2020-05-07,16,2020-05-07,11,Male,Age_40_to_44,88.06296349580548,2182,,Floor & Decor,4501 W Braker Ln,Austin,"Austin, TX",TX,US,30.399167218410515,-97.74366222002176,545419b1498ea6ccd0202f58,Home Services & Repairs,4d4b7105d754a06378d81259,Shops & Services,545419b1498ea6ccd0202f58,Home Services & Repairs,,,5569febda7c8896abe7dc84e,Floor & Decor,,78759,us_all
95,4be9c163b3352d7f8b5e54d2,2020-05-09,17,2020-05-09,12,Female,Age_20_to_24,209.63195646088985,626,,Del Valle ISD Admin Bldg,5301 Ross Rd,Austin,"Austin, TX",TX,US,30.17610364031905,-97.61358471146649,4bf58dd8d48988d197941735,College Administrative Buildings,4d4b7105d754a06372d81259,Colleges & Universities,4bf58dd8d48988d197941735,College Administrative Buildings,,,,,,78617,us_all
83,4bf979b25317a5933756017f,2020-05-09,15,2020-05-09,10,Male,Age_70_to_74,499.06691096700195,4899,78648.0,Taco Bell,1400 S Colorado St,Lockhart,"Austin, TX",TX,US,29.868612,-97.668263,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556f46f6bd6a007c77390fac,Taco Bell,,78644,us_all
83,4bf979b25317a5933756017f,2020-05-12,16,2020-05-12,11,Male,Age_70_to_74,477.1381004976025,230,78648.0,Taco Bell,1400 S Colorado St,Lockhart,"Austin, TX",TX,US,29.868612,-97.668263,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556f46f6bd6a007c77390fac,Taco Bell,,78644,us_all
83,4bf979b25317a5933756017f,2020-05-08,13,2020-05-08,8,Male,Age_70_to_74,450.474059533533,480,78648.0,Taco Bell,1400 S Colorado St,Lockhart,"Austin, TX",TX,US,29.868612,-97.668263,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556f46f6bd6a007c77390fac,Taco Bell,,78644,us_all
82,4bf979b25317a5933756017f,2020-05-05,17,2020-05-05,12,Male,Age_25_to_29,229.08884503181145,228,78616.0,Taco Bell,1400 S Colorado St,Lockhart,"Austin, TX",TX,US,29.868612,-97.668263,4bf58dd8d48988d16e941735,Fast Food Restaurants,4d4b7105d754a06374d81259,Food,4bf58dd8d48988d16e941735,Fast Food Restaurants,,,556f46f6bd6a007c77390fac,Taco Bell,,78644,us_all
24,4b64d35ef964a520fdd22ae3,2020-05-19,17,2020-05-19,12,Male,Age_45_to_49,88.18155592410915,190,,YMCA,465 Buda Sportsplex Dr,Buda,"Austin, TX",TX,US,30.101176213222235,-97.88094284395764,4bf58dd8d48988d176941735,Gyms,4d4b7105d754a06377d81259,Outdoors & Recreation,4f4528bc4b90abdf24c9de85,Athletics & Sports,4bf58dd8d48988d175941735,Gyms or Fitness Centers,5568f419a7c8a9cf8ec4837e,YMCA,,78610,us_all
71,4c2b50efae6820a1b3941743,2020-05-16,17,2020-05-16,12,Male,Age_30_to_34,105.52415382847714,1617,78660.0,Hernandez Elementary School,333 Stagecoach Trl,San Marcos,"Austin, TX",TX,US,29.86641192656552,-97.96951669385258,4f4533804b9074f6e4fb0105,Elementary Schools,4d4b7105d754a06375d81259,Professional & Other Places,4bf58dd8d48988d13b941735,Schools,4f4533804b9074f6e4fb0105,Elementary Schools,,,,78666,us_all
8,4c3cc408a97bbe9a63f7fadd,2020-05-22,16,2020-05-22,11,Male,Age_30_to_34,117.83217045232568,364,78617.0,TEXAN MART,7612 Bluff Springs Rd,Austin,"Austin, TX",TX,US,30.17446676214637,-97.76490623042277,4bf58dd8d48988d113951735,Gas Stations,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d113951735,Gas Stations,,,,,,78744,us_all
8,4c3cc408a97bbe9a63f7fadd,2020-05-30,17,2020-05-30,12,Male,Age_30_to_34,128.29804690699763,908,78617.0,TEXAN MART,7612 Bluff Springs Rd,Austin,"Austin, TX",TX,US,30.17446676214637,-97.76490623042277,4bf58dd8d48988d113951735,Gas Stations,4d4b7105d754a06378d81259,Shops & Services,4bf58dd8d48988d113951735,Gas Stations,,,,,,78744,us_all
